from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022005000993005,9022005000993002,1,,55700000063069818,55700000064824367
9022005000993005,9022005000993002,1,,55700000063070838,55700000063176159
9022005000993005,9022005000993006,1,,55700000063070838,55700000063210138
9022005000126015,9022005000126002,1,,55700000063070838,55700000063233084
9022005004136005,9022005004136002,1,,55700000063070838,55700000063573544
9022005004136005,9022005004136002,1,,55700000063070838,55700000063573573
9022005004136005,9022005004136004,1,,55700000063070838,55700000064815265
9022005000993005,9022005000993002,1,,55700000063070838,55700000064824135
9022005000993005,9022005000993006,1,,55700000063070838,55700000065058979
9022005000993005,9022005000993001,1,,55700000063071486,55700000064819993
9022005000993005,9022005000993002,1,,55700000063071486,55700000064824367
9022005001000022,9022005001000020,1,,55700000063073003,55700000064565042
9022005000993005,9022005000993006,1,,55700000063075099,55700000063210256
9022005000993005,9022005000993002,1,,55700000063076828,55700000063175857
9022005001000022,9022005001000020,1,,55700000063076828,55700000064945179
9022005001000022,9022005001000020,1,,55700000063078402,55700000064565200
9022005001000022,9022005001000020,1,,55700000063078402,55700000064630295
9022005001000022,9022005001000020,1,,55700000063078402,55700000064630853
9022005000993005,9022005000993002,1,,55700000063062406,55700000064824483
9022005001000026,9022005001000020,1,,55700000063062406,55700000064945105
9022005000993005,9022005000993006,1,,55700000063062632,55700000063210412
9022005004136005,9022005004136002,1,,55700000063062632,55700000063573718
9022005000993005,9022005000993001,1,,55700000063062632,55700000064820061
9022005000993005,9022005000993002,1,,55700000063062632,55700000064824541
9022005001000026,9022005001000020,1,,55700000063062632,55700000064945035
9022005000993005,9022005000993002,1,,55700000063064586,55700000063175595
9022005001000022,9022005001000020,1,,55700000063064586,55700000064617263
9022005000126015,9022005000126002,1,,55700000063069386,55700000063233645
9022005000126015,9022005000126002,1,,55700000063069386,55700000063233706
9022005000126015,9022005000126002,1,,55700000063069386,55700000063233889
9022005004136005,9022005004136002,1,,55700000063069386,55700000063573660
9022005004136005,9022005004136002,1,,55700000063075531,55700000063573486
9022005001000026,9022005001000020,1,,55700000063075531,55700000064617540
9022005000993005,9022005000993002,1,,55700000063075531,55700000064824483
9022005000126015,9022005000126002,1,,55700000064350078,55700000063233523
9022005004136005,9022005004136002,1,,55700000064350078,55700000063573631
9022005004136005,9022005004136004,1,,55700000064350078,55700000064815346
9022005000993005,9022005000993002,1,,55700000064350579,55700000063176023
9022005000126015,9022005000126002,1,,55700000064350579,55700000063233336
9022005000126015,9022005000126002,1,,55700000064350579,55700000063233399
9022005004136005,9022005004136002,1,,55700000064350579,55700000063573515
9022005004136005,9022005004136004,1,,55700000064350579,55700000064815292
9022005004136005,9022005004136004,1,,55700000064350579,55700000064815319
9022005001000022,9022005001000020,1,,55700000064350579,55700000064944717
9022005000993005,9022005000993006,1,,55700000064350800,55700000063210360
9022005001000022,9022005001000020,1,,55700000063540930,55700000064630774
9022005000993005,9022005000993002,1,,55700000063541304,55700000063176077
9022005000126016,9022005000126002,1,,55700000063541304,55700000063233336
9022005000126016,9022005000126002,1,,55700000063542197,55700000063233584
9022005000126016,9022005000126002,1,,55700000063542733,55700000063233462
9022005000126016,9022005000126002,1,,55700000063542733,55700000063233523
9022005004136005,9022005004136004,1,,55700000063542733,55700000064815319
9022005004136005,9022005004136004,1,,55700000063542733,55700000064815346
9022005001000022,9022005001000020,1,,55700000063542413,55700000064945255
9022005000993005,9022005000993002,1,,55700000064350296,55700000063175813
9022005001000021,9022005001000026,1,,55700000064631955,55700000063539484
9022005001000021,9022005001000026,1,,55700000064572207,55700000063058283
9022005001000021,9022005001000026,1,,55700000064620082,55700000063059047
9022005001000021,9022005001000022,1,,55700000064620032,55700000063049953
9022005001000021,9022005001000022,1,,55700000064620107,55700000063060425
9022005001000021,9022005001000022,1,,55700000065425838,55700000063058920
9022005000214002,9022005000214002,1,,55700000063339156,55700000063260698
9022005000214002,9022005000214002,1,,55700000063340044,55700000063260683
9022005000214002,9022005000214002,1,,55700000063339240,55700000063260715
9022005000050020,9022005000050025,1,,55700000065074784,55700000063064802
9022005000050020,9022005000050025,1,,55700000065074823,55700000063071486
9022005000050020,9022005000050025,1,,55700000065074810,55700000063540704
9022005000050020,9022005000050025,1,,55700000065074810,55700000064350800
9022005000050020,9022005000050025,1,,55700000065074797,55700000063065018
9022005000050020,9022005000050021,1,,55700000065074797,55700000063077042
9022005000050020,9022005000050025,1,,55700000065074862,55700000063062406
9022005000050020,9022005000050025,1,,55700000065074862,55700000063075531
9022005000050020,9022005000050025,1,,55700000065074888,55700000064350800
9022005000050020,9022005000050025,1,,55700000065074758,55700000063071918
9022005000050020,9022005000050021,1,,55700000065074758,55700000063076828
9022005000050020,9022005000050025,1,,55700000065074771,55700000063062632
9022005000050020,9022005000050025,1,,55700000065074771,55700000063064802
9022005000050020,9022005000050025,1,,55700000065074836,55700000063064370
9022005000050020,9022005000050025,1,,55700000065074849,55700000063071702
9022005000050020,9022005000050025,1,,55700000065074875,55700000063075531
9022005001343001,9022005001343001,1,,55700000063260791,55700000063344185
9022005001343001,9022005001343001,1,,55700000063260843,55700000063341149
9022005001343001,9022005001343001,1,,55700000063260857,55700000063340981
9022005000126001,9022005000126017,1,,55700000063238303,55700000063063290
9022005000126001,9022005000126017,1,,55700000063238375,55700000063065450
9022005000126001,9022005000126016,1,,55700000063238267,55700000063061954
9022005000126001,9022005000126015,1,,55700000063238267,55700000063070838
9022005000126001,9022005000126015,1,,55700000063238249,55700000063069386
9022005000126001,9022005000126015,1,,55700000063238285,55700000064350579
9022005000126001,9022005000126017,1,,55700000063238357,55700000063075747
9022005000126002,9022005000126017,1,,55700000063232919,55700000063075531
9022005000126002,9022005000126018,1,,55700000063232919,55700000063076828
9022005000126002,9022005000126018,1,,55700000063232955,55700000063077042
9022005000126002,9022005000126015,1,,55700000063232955,55700000064349794
9022005000126002,9022005000126015,1,,55700000063232991,55700000063539484
9022005000126002,9022005000126015,1,,55700000063232991,55700000064350800
9022005000126002,9022005000126015,1,,55700000063233003,55700000063539648
9022005000126002,9022005000126015,1,,55700000063233003,55700000064350296
9022005000126002,9022005000126017,1,,55700000063232943,55700000063064802
9022005000126002,9022005000126018,1,,55700000063232943,55700000063077042
9022005000126002,9022005000126015,1,,55700000063232943,55700000064349794
9022005000126002,9022005000126013,1,,55700000063232967,55700000063058627
9022005000126002,9022005000126017,1,,55700000063232967,55700000063065018
9022005000126002,9022005000126017,1,,55700000063233015,55700000063075747
9022005000126002,9022005000126013,1,,55700000063233015,55700000063539234
9022005000126002,9022005000126017,1,,55700000063233015,55700000063540144
9022005000126002,9022005000126017,1,,55700000063233026,55700000063059391
9022005000126002,9022005000126017,1,,55700000063233026,55700000063075315
9022005000126002,9022005000126017,1,,55700000063233037,55700000063054124
9022005000126002,9022005000126016,1,,55700000063233037,55700000063062406
