,vehicle,trips,routes,directions,computed,detected
85,9031005920505749,['55700000063308505'],['10'],[1],['E2'],['E2']
86,9031005920505753,['55700000063666664' '55700000064428087'],"['6', '1']","[0, 1]","['E1', 'A2']",['B6' 'A2']
87,9031005920505682,['55700000065109089' '55700000064969784'],"['2', '4']","[0, 1]",['A6'],['A6']
88,9031005918308629,['55700000063261180'],['240'],[1],['B6'],['C3']
89,9031005920505742,['55700000063307341'],['10'],[1],['E2'],['A1']
90,9031005920505661,['55700000065085439' '55700000065015913'],"['13', '13']","[1, 0]","['B2', 'B4']",['B2' 'B4']
91,9031005917108852,['55700000063131425' nan],['617'],[0],['C2'],['C5']
92,9031005920505515,['55700000064403167' '55700000065100988'],"['5', '5']","[1, 0]","['B3', 'A4']",[]
93,9031005920505697,['55700000063343921' '55700000065090090'],"['3', '12']","[0, 1]","['A5', 'B6']",['B6']
94,9031005920505683,[nan '55700000064971981'],['2'],[1],['A6'],['C3' 'A6']
95,9031005920505752,['55700000063666687' nan '55700000063663620'],"['6', '6']","[0, 1]",['E1'],['A1' 'E2']
96,9031005920505759,['55700000063308541'],['10'],[1],['E2'],['E1']
97,9031005920505671,['55700000065090114'],['12'],[1],['B6'],[]
98,9031005920505500,['55700000065008775'],['16'],[0],['C5'],[]
99,9031005920703856,['55700000065073876'],['241'],[1],['D1'],['C1']
100,9031005920703853,[nan],[],[],[],[]
101,9031005918308744,['55700000065043448'],['543'],[1],['C1'],[]
102,9031005901461215,[nan],[],[],[],[]
103,9031005918308622,['55700000063170819' nan],['521'],[0],['C3'],['C2']
104,9031005918308630,['55700000063251588' nan '55700000063251078'],"['30', '30']","[0, 1]",['C1'],['B6' 'B1']
105,9031005918308732,[nan '55700000063168597'],['521'],[1],['C3'],['C3']
106,9031005920505513,['55700000065096832'],['5'],[0],['A4'],['A4' 'B1']
107,9031005920505686,['55700000064497816' '55700000063338211'],"['17', '3']","[0, 1]","['C5', 'A5']",['A5']
108,9031005918308826,['55700000065164101' nan],['39'],[0],['C1'],['C2']
109,9031005918308725,['55700000065163975' nan '55700000063173880'],"['39', '513']","[0, 1]","['C1', 'C4']",['B6']
110,9031005920703443,['55700000065040998' nan],['617'],[0],['C2'],['C2']
111,9031005920505733,[nan '55700000063278936'],['15'],[1],['A1'],['A1']
112,9031005920703867,['55700000065046815' nan],['530'],[0],['C1'],['C5']
113,9031005918308823,[nan],[],[],[],['C3']
114,9031005917108324,[nan],[],[],[],[]
115,9031005920505514,['55700000064426695'],['1'],[1],['A2'],['A2']
116,9031005920505685,['55700000064497844' '55700000063338253'],"['17', '3']","[0, 1]","['C5', 'A5']",['A5']
