terminal,provider,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
upplands_väsby,sl,17.8993601755842,59.5204562377702,17.9000748340048,59.5217163958644,17.9014612099967,59.5215841592636,17.9003570167288,59.5203971180859,,,,
jakobsberg,sl,17.8319154373388,59.4241656549658,17.8325074076186,59.4242545873879,17.8327282462722,59.4219750352367,17.831939974967,59.4219641129884,,,,
vällingby,sl,17.8718258895671,59.3638844457961,17.872295171706,59.3636312392657,17.8709977446162,59.362973206052,17.8704763200174,59.3631873417763,,,,
solna,sl,17.9970168685212,59.358773059239,17.9989308035189,59.3587746224718,17.998943072333,59.3582165437744,17.9973082528558,59.3581962214078,,,,
ropsten,sl,18.1020057114776,59.3578155655998,18.1043429205614,59.3574044212662,18.1049563612658,59.3571496030768,18.1032939369568,59.3567150007694,18.1015640341704,59.3573278196803,,
farsta,sl,18.0939389662147,59.2443137165229,18.0940892591873,59.243623568855,18.0929697299018,59.2433192720367,18.0922612058882,59.2440266795306,,,,
södertälje,sl,17.6289631810931,59.191524191842,17.6287239392184,59.191048196918,17.6268130714242,59.1926395335111,17.6273252944124,59.1927793413776,,,,
sala,vastmanland,16.6049435460337,59.9253683960015,16.60645567737,59.9249641466439,16.6061121505756,59.9245691149471,16.6044098526208,59.9249872028234,,,,
arboga,vastmanland,15.8413264227887,59.3969671221744,15.8423600703756,59.3969577533329,15.842338599951,59.3965236608359,15.8413417588063,59.396536152784,,,,
arvika,varm,12.5868609241567,59.6558576610014,12.5873271390921,59.6558297694731,12.5869774778906,59.655030202467,12.5860787872586,59.6551402215387,12.5861247953115,59.6552982764748,12.5866830263525,59.6552905287012
karlstad,varm,13.4935569572961,59.3785039180678,13.4934956132256,59.3792069565843,13.492498772081,59.379194458249,13.492633729036,59.3786070312955,,,,
kristinehamn,varm,14.1079055539392,59.3166827341649,14.1090557552599,59.3160284863674,14.1083932392992,59.3157984010156,14.1072399707749,59.3164197844103,,,,
karlskoga,orebro,14.5118010481236,59.3272256564459,14.5127304107908,59.3268986355707,14.5119942819455,59.3264965051087,14.5111354649593,59.3268767297537,,,,
örebro,orebro,15.2096051853969,59.2763995606391,15.2111142495297,59.2782846398202,15.211574330058,59.2782391985738,15.2099057713421,59.2762381566571,,,,
norrköping,otraf,16.1890522188746,58.5968832689532,16.1890859581134,58.5972876074181,16.185623085337,58.5967857795331,16.1853317010024,58.5963654531842,,,,
västervik,klt,16.6415168808299,57.7556389350304,16.6435166975263,57.7553983762245,16.6443417752737,57.7551054487138,16.6442558935751,57.7547176024914,16.6416395689708,57.7552838238493,,
kalmar,klt,16.3596807508036,56.6614827684272,16.3597635652987,56.6617406777661,16.3578833695397,56.6620086993268,16.357426356215,56.6618553035725,,,,
växjö,krono,14.8097277278263,56.8764126359509,14.809960835294,56.8767981285687,14.803492103066,56.8771785891243,14.8033080708547,56.876803156707,14.8053078875511,56.8766841572521,,
ljungby,krono,13.9359979981414,56.8318161809367,13.9357280842315,56.8322558307057,13.9373843741334,56.8324639074228,13.9375990783799,56.8319722404151,,,,
älmhult,krono,14.1377586458188,56.5502085916157,14.1380408285428,56.5509558564418,14.137519403944,56.5510031939882,14.1372249524059,56.5502660740492,,,,
kristianstad,skane,14.1520763518595,56.0315017763724,14.1527756742625,56.0306568833904,14.152284921699,56.0304957860776,14.1515886664995,56.0313252586772,,,,
ystad,skane,13.8281520551042,55.427929637041,13.828185794343,55.4277538500468,13.8251093892104,55.4274388238717,13.8250296419188,55.4275693598846,,,,
landskrona,skane,12.8550449313065,55.8791125856438,12.8562794807241,55.8792665718506,12.8565279242094,55.8786764314524,12.8553455172516,55.878503516896,,,,
malmö_s,skane,13.0061399776056,55.5886740749072,13.0070816090869,55.5886914085936,13.0088667215367,55.5879547201708,13.0086857565289,55.5878229814895,13.007035601034,55.5883534003281,13.006195187269,55.588329132956
malmö_c,skane,13.0040573464142,55.609320000801,13.0042567146431,55.6089198011714,12.9995332212192,55.6081678999142,12.9994043986713,55.6085507823096,,,,
