trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude
9031005918308719-3,9031005918308719,1647932802,1647933041,1,1647933020,1647933024,-1,566,1,C1,566,1,C1,15.6224546432495,58.4177360534668
9031005918308721-0,9031005918308721,1647932003,1647932159,0,1647932025,1647932093,B4,-1,-1,-1,243,1,B4,15.6237716674805,58.4170761108398
9031005918308724-0,9031005918308724,1647931300,1647931838,0,1647931328,1647931350,-1,-1,-1,-1,-1,-1,-1,15.6230707168579,58.4172782897949
9031005918308724-0,9031005918308724,1647931300,1647931838,1,1647931361,1647931802,C1,-1,-1,-1,39,1,C1,15.6228513717651,58.4174575805664
9031005918308724-0,9031005918308724,1647931300,1647931838,2,1647931823,1647931832,-1,39,1,C1,39,1,C1,15.6223907470703,58.4177360534668
9031005918308725-0,9031005918308725,1647933650,1647933731,0,1647933664,1647933678,B6,39,0,C1,-1,-1,-1,15.6243801116943,58.4167747497559
9031005918308725-1,9031005918308725,1647934414,1647934432,0,1647934421,1647934432,-1,-1,-1,-1,-1,-1,-1,15.6221055984497,58.4177322387695
9031005918308725-2,9031005918308725,1647934490,1647934579,0,1647934506,1647934539,C4,-1,-1,-1,513,1,C4,15.6239156723022,58.4168548583984
9031005918308726-0,9031005918308726,1647931061,1647931148,0,1647931071,1647931096,C5,540,0,C1,-1,-1,-1,15.624285697937,58.4166793823242
9031005918308732-0,9031005918308732,1647932734,1647932748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308732-1,9031005918308732,1647932761,1647932835,0,1647932761,1647932777,-1,-1,-1,-1,-1,-1,-1,15.6235942840576,58.4169502258301
9031005918308732-1,9031005918308732,1647932761,1647932835,1,1647932805,1647932824,-1,-1,-1,-1,-1,-1,-1,15.6223602294922,58.4177513122559
9031005918308732-2,9031005918308732,1647933450,1647933460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308732-3,9031005918308732,1647933527,1647933700,0,1647933545,1647933620,C3,-1,-1,-1,521,1,C3,15.6236391067505,58.4169960021973
9031005918308732-3,9031005918308732,1647933527,1647933700,1,1647933649,1647933698,-1,521,1,C3,521,1,C3,15.622181892395,58.4176902770996
9031005918308733-0,9031005918308733,1647930410,1647930814,0,1647930443,1647930762,C2,539,0,C1,520,1,C2,15.6233186721802,58.4172019958496
9031005918308733-0,9031005918308733,1647930410,1647930814,1,1647930791,1647930805,-1,520,1,C2,520,1,C2,15.6223669052124,58.4177589416504
9031005918308734-0,9031005918308734,1647929797,1647929890,0,1647929806,1647929835,C5,513,0,C4,-1,-1,-1,15.6242589950562,58.4166717529297
9031005918308742-0,9031005918308742,1647930129,1647930275,0,1647930145,1647930172,C4,617,0,C2,-1,-1,-1,15.6239671707153,58.4168548583984
9031005918308742-0,9031005918308742,1647930129,1647930275,1,1647930209,1647930262,-1,-1,-1,-1,-1,-1,-1,15.622631072998,58.4177856445313
9031005918308742-1,9031005918308742,1647933712,1647933832,0,1647933735,1647933765,C3,522,0,C3,-1,-1,-1,15.6236371994019,58.4170150756836
9031005918308742-1,9031005918308742,1647933712,1647933832,1,1647933787,1647933794,-1,-1,-1,-1,-1,-1,-1,15.622784614563,58.4175987243652
9031005918308742-1,9031005918308742,1647933712,1647933832,2,1647933812,1647933831,-1,-1,-1,-1,-1,-1,-1,15.6221971511841,58.4177055358887
9031005918308744-0,9031005918308744,1647933265,1647933454,0,1647933292,1647933379,-1,-1,-1,-1,543,1,C1,15.6230440139771,58.417350769043
9031005918308744-0,9031005918308744,1647933265,1647933454,1,1647933381,1647933392,-1,543,1,C1,543,1,C1,15.6230983734131,58.4173583984375
9031005918308744-0,9031005918308744,1647933265,1647933454,2,1647933417,1647933448,-1,543,1,C1,543,1,C1,15.6224536895752,58.4177703857422
9031005918308822-0,9031005918308822,1647931665,1647931771,0,1647931699,1647931741,-1,30,0,C1,-1,-1,-1,15.6232500076294,58.4170989990234
9031005918308822-1,9031005918308822,1647932349,1647932354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308822-2,9031005918308822,1647932420,1647932722,0,1647932447,1647932455,-1,-1,-1,-1,30,1,C1,15.623101234436,58.4172515869141
9031005918308822-2,9031005918308822,1647932420,1647932722,1,1647932466,1647932694,C1,30,1,C1,30,1,C1,15.6228647232056,58.417423248291
9031005918308823-0,9031005918308823,1647933955,1647934059,0,1647933977,1647934020,C3,-1,-1,-1,-1,-1,-1,15.6235904693604,58.4170112609863
9031005918308824-0,9031005918308824,1647929862,1647929987,0,1647929873,1647929914,C5,30,0,C1,-1,-1,-1,15.6242570877075,58.4166793823242
9031005918308824-0,9031005918308824,1647929862,1647929987,1,1647929957,1647929985,-1,-1,-1,-1,-1,-1,-1,15.622163772583,58.4177360534668
9031005918308824-1,9031005918308824,1647930814,1647930821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308824-2,9031005918308824,1647930863,1647930952,0,1647930891,1647930929,-1,-1,-1,-1,30,1,C1,15.6229133605957,58.4173240661621
9031005918308826-0,9031005918308826,1647933562,1647933717,0,1647933589,1647933644,C2,39,0,C1,-1,-1,-1,15.6232891082764,58.4171905517578
9031005918308826-0,9031005918308826,1647933562,1647933717,1,1647933660,1647933703,-1,-1,-1,-1,-1,-1,-1,15.6228065490723,58.4176177978516
9031005918308829-0,9031005918308829,1647929759,1647930077,0,1647929768,1647930020,C3,521,0,C3,521,1,C3,15.6236028671265,58.4170341491699
9031005918308829-0,9031005918308829,1647929759,1647930077,1,1647930040,1647930059,-1,521,1,C3,521,1,C3,15.6227369308472,58.4174461364746
9031005918308830-0,9031005918308830,1647929896,1647929992,0,1647929908,1647929938,B6,39,0,C1,-1,-1,-1,15.6244211196899,58.4167823791504
9031005918308830-0,9031005918308830,1647929896,1647929992,1,1647929970,1647929986,E2,-1,-1,-1,-1,-1,-1,15.6223850250244,58.4178047180176
9031005918308830-1,9031005918308830,1647930679,1647930683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005918308830-2,9031005918308830,1647930733,1647930967,0,1647930773,1647930933,C2,520,1,C2,520,1,C2,15.6232385635376,58.417179107666
9031005918308832-0,9031005918308832,1647931048,1647931529,0,1647931066,1647931448,C3,521,0,C3,-1,-1,-1,15.6235828399658,58.4169960021973
9031005918308832-0,9031005918308832,1647931048,1647931529,1,1647931480,1647931527,-1,243,1,B4,243,1,B4,15.622127532959,58.4176864624023
9031005918308832-1,9031005918308832,1647931572,1647931778,0,1647931579,1647931591,-1,243,1,B4,243,1,B4,15.6247472763062,58.4164657592773
9031005918308832-1,9031005918308832,1647931572,1647931778,1,1647931599,1647931609,-1,243,1,B4,243,1,B4,15.6246538162231,58.4165763854981
