id,latitude,longitude,bearing,speed,timestamp,vehicle.id,trip_id,schedule_relationship,source,route_id,direction_id,route_short_name,route_type,start_time,start_date,rsn_dir,trajectory_id,is_stopped,cluster,berths
797469195,58.4166641235352,15.6242666244507,318,0.300000011920929,1647931519,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-20Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797469195,58.4166641235352,15.6242666244507,318,0.300000011920929,1647931519,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-21Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797469926,58.416675567627,15.6242408752441,307,0.800000011920929,1647931521,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-22Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797470476,58.4166831970215,15.6242170333862,306,1.39999997615814,1647931522,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-23Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797470476,58.4166831970215,15.6242170333862,306,1.39999997615814,1647931522,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-24Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797470706,58.4166984558106,15.6241760253906,304,2.5,1647931523,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-25Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797471072,58.4167175292969,15.624116897583,305,3.59999990463257,1647931524,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-26Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797471766,58.4167747497559,15.6239719390869,306,4.69999980926514,1647931526,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-27Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797472134,58.4168281555176,15.6238479614258,311,5.80000019073486,1647931527,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-28Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797472517,58.416862487793,15.6237630844116,312,6.09999990463257,1647931528,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-29Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
