,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks
78,228,9031005920505667,2022-03-22 07:19:50,2022-03-22 07:20:47,-1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",unclear,{}
79,223,9031005920505743,2022-03-22 07:20:20,2022-03-22 07:23:09,E1,"['E1', 'B5']","['6', '6', '18']",confirmed,{}
80,244,9031005920505758,2022-03-22 07:20:28,2022-03-22 07:20:50,-1,"['B1', 'E2']","['10', '10']",unclear,{}
81,235,9031005920505736,2022-03-22 07:20:29,2022-03-22 07:20:43,-1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",unclear,{}
82,163,9031005920505731,2022-03-22 07:20:31,2022-03-22 07:20:44,-1,"['A1', 'D1']","['15', '15', '15', '20']",regular_stop,{}
83,209,9031005920505510,2022-03-22 07:20:35,2022-03-22 07:20:47,-1,"['B3', 'A4']","['5', '5', '5']",unclear,{}
84,150,9031005920505672,2022-03-22 07:20:37,2022-03-22 07:20:50,-1,"['A6', 'C4']","['2', '21']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505507'}]}
85,189,9031005920505507,2022-03-22 07:20:38,2022-03-22 07:20:47,-1,"['A3', 'A2']","['1', '1', '1']",unclear,{'at_crossing': 'E'}
86,184,9031005918308829,2022-03-22 07:20:43,2022-03-22 07:20:50,C1,['C3'],"['521', '521', '521']",unclear,{}
87,229,9031005920505667,2022-03-22 07:21:01,2022-03-22 07:21:08,-1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",unclear,{}
88,236,9031005920505736,2022-03-22 07:21:03,2022-03-22 07:28:06,A1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",confirmed,{}
89,230,9031005920505667,2022-03-22 07:21:32,2022-03-22 07:21:47,A4,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",unclear,{}
90,170,9031005920505670,2022-03-22 07:21:46,2022-03-22 07:22:05,-1,"['A5', 'A6']","['3', '4', '4', '4']",regular_stop,{}
91,245,9031005920505758,2022-03-22 07:21:57,2022-03-22 07:25:03,B1,"['B1', 'E2']","['10', '10']",confirmed,{}
92,249,9031005920505668,2022-03-22 07:22:07,2022-03-22 07:25:00,B2,"['B2', 'B4']","['13', '13', '13']",confirmed,{}
93,254,9031005920505735,2022-03-22 07:22:13,2022-03-22 07:24:59,B5,"['B5', 'D1']","['14', '18', '20']",confirmed,{}
94,257,9031005918308742,2022-03-22 07:22:27,2022-03-22 07:22:52,C4,"['C2', 'C3']","['617', '522']",unclear,{}
95,261,9031005920505649,2022-03-22 07:22:40,2022-03-22 07:25:07,A2,"['A2', 'A3']","['1', '1', '1']",confirmed,{}
96,231,9031005920505667,2022-03-22 07:23:09,2022-03-22 07:25:28,D1,"['B5', 'D1', 'A2', 'A3']","['18', '23', '1', '1']",confirmed,{}
97,224,9031005920505743,2022-03-22 07:23:20,2022-03-22 07:24:14,-1,"['E1', 'B5']","['6', '6', '18']",regular_stop,{}
98,218,9031005920505516,2022-03-22 07:23:26,2022-03-22 07:24:19,E2,"['A6', 'D1', 'A5', 'C5']","['4', '20', '3', '3', '3', '17']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505743'}]}
99,258,9031005918308742,2022-03-22 07:23:29,2022-03-22 07:24:21,-1,"['C2', 'C3']","['617', '522']",unclear,{}
100,264,9031005920505751,2022-03-22 07:23:31,2022-03-22 07:23:49,A5,"['E2', 'B1']","['10', '10']",unclear,{}
101,269,9031005920505676,2022-03-22 07:23:47,2022-03-22 07:25:07,B6,"['B6', 'A6']","['12', '12', '12', '4']",confirmed,{}
102,199,9031005920505675,2022-03-22 07:23:48,2022-03-22 07:24:22,-1,"['A5', 'C4']","['3', '3', '3', '21']",unclear,"{'vehicle_infront': [{'vehicle': '9031005918308742'}], 'at_crossing': 'E'}"
103,273,9031005920505503,2022-03-22 07:23:52,2022-03-22 07:30:07,A3,"['A3', 'B3', 'A4']","['1', '5', '5']",confirmed,{}
104,265,9031005920505751,2022-03-22 07:24:15,2022-03-22 07:24:22,-1,"['E2', 'B1']","['10', '10']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505675'}]}
105,277,9031005920505696,2022-03-22 07:24:23,2022-03-22 07:25:01,B6,"['C5', 'C4']","['16', '16']",unclear,{}
106,266,9031005920505751,2022-03-22 07:24:49,2022-03-22 07:25:18,E2,"['E2', 'B1']","['10', '10']",confirmed,{}
107,281,9031005920505687,2022-03-22 07:25:06,2022-03-22 07:27:04,-1,"['A6', 'C5']","['2', '2', '17']",unclear,{}
108,246,9031005920505758,2022-03-22 07:25:27,2022-03-22 07:25:32,-1,"['B1', 'E2']","['10', '10']",regular_stop,{}
109,255,9031005920505735,2022-03-22 07:25:34,2022-03-22 07:25:40,-1,"['B5', 'D1']","['14', '18', '20']",unclear,{}
110,278,9031005920505696,2022-03-22 07:25:37,2022-03-22 07:25:42,-1,"['C5', 'C4']","['16', '16']",unclear,"{'vehicle_infront': [{'vehicle': '9031005920505649'}, {'vehicle': '9031005920505735'}]}"
111,270,9031005920505676,2022-03-22 07:25:38,2022-03-22 07:25:46,-1,"['B6', 'A6']","['12', '12', '12', '4']",unclear,{}
112,285,9031005920505502,2022-03-22 07:25:40,2022-03-22 07:26:43,-1,"['B3', 'A4']","['5', '5', '5']",unclear,{}
113,290,9031005918308718,2022-03-22 07:26:00,2022-03-22 07:35:02,C3,"['C1', 'C3']","['566', '522', '522']",confirmed,{}
114,267,9031005920505751,2022-03-22 07:26:17,2022-03-22 07:26:32,-1,"['E2', 'B1']","['10', '10']",unclear,{}
115,295,9031005918308733,2022-03-22 07:27:24,2022-03-22 07:32:40,C2,"['C1', 'C2']","['539', '520']",confirmed,{}
116,286,9031005920505502,2022-03-22 07:27:39,2022-03-22 07:28:16,B3,"['B3', 'A4']","['5', '5', '5']",confirmed,{}
117,282,9031005920505687,2022-03-22 07:27:48,2022-03-22 07:27:53,E2,"['A6', 'C5']","['2', '2', '17']",regular_stop,{}
118,297,9031005920505517,2022-03-22 07:27:49,2022-03-22 07:28:06,A4,"['A4', 'A2']","['5', '1']",confirmed,{}
119,302,9031005920505659,2022-03-22 07:28:10,2022-03-22 07:35:14,A5,"['A5', 'B6']","['3', '3', '12']",confirmed,{}
120,307,9031005920505504,2022-03-22 07:28:20,2022-03-22 07:30:03,A1,"['A1', 'C5']","['14', '16']",confirmed,{}
121,310,9031005920505754,2022-03-22 07:28:21,2022-03-22 07:33:04,B2,['B2'],"['11', '11', '11', '11']",confirmed,{}
122,298,9031005920505517,2022-03-22 07:28:35,2022-03-22 07:29:03,-1,"['A4', 'A2']","['5', '1']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505504'}]}
123,237,9031005920505736,2022-03-22 07:28:44,2022-03-22 07:28:57,-1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",unclear,{}
124,287,9031005920505502,2022-03-22 07:28:46,2022-03-22 07:29:43,-1,"['B3', 'A4']","['5', '5', '5']",regular_stop,{}
125,299,9031005920505517,2022-03-22 07:29:19,2022-03-22 07:29:36,-1,"['A4', 'A2']","['5', '1']",unclear,{}
126,308,9031005920505504,2022-03-22 07:30:25,2022-03-22 07:31:10,-1,"['A1', 'C5']","['14', '16']",regular_stop,{}
127,314,9031005920505699,2022-03-22 07:30:25,2022-03-22 07:30:50,D1,"['A5', 'A6']","['3', '4', '4']",unclear,{}
128,274,9031005920505503,2022-03-22 07:30:32,2022-03-22 07:31:12,-1,"['A3', 'B3', 'A4']","['1', '5', '5']",unclear,{}
129,238,9031005920505736,2022-03-22 07:30:50,2022-03-22 07:39:53,A1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",confirmed,{}
130,320,9031005918308644,2022-03-22 07:30:58,2022-03-22 07:31:35,C4,['C3'],"['522', '521']",unclear,{}
131,326,9031005920505655,2022-03-22 07:31:02,2022-03-22 07:31:19,A3,"['A6', 'B2']","['2', '11']",unclear,{}
132,315,9031005920505699,2022-03-22 07:31:19,2022-03-22 07:32:18,A6,"['A5', 'A6']","['3', '4', '4']",confirmed,{}
133,275,9031005920505503,2022-03-22 07:31:40,2022-03-22 07:31:45,-1,"['A3', 'B3', 'A4']","['1', '5', '5']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505503'}]}
134,327,9031005920505655,2022-03-22 07:31:52,2022-03-22 07:32:25,-1,"['A6', 'B2']","['2', '11']",regular_stop,{}
135,333,9031005920505734,2022-03-22 07:32:06,2022-03-22 07:40:09,B5,"['E1', 'B5', 'A1']","['6', '18', '14']",confirmed,{'at_crossing': 'B4'}
136,336,9031005920505653,2022-03-22 07:32:12,2022-03-22 07:33:02,C4,"['C4', 'B5', 'A5']","['16', '14', '18', '3']",confirmed,{}
137,321,9031005918308644,2022-03-22 07:32:13,2022-03-22 07:32:27,-1,['C3'],"['522', '521']",unclear,{}
138,12,9031005920505673,2022-03-22 07:32:22,2022-03-22 07:35:47,A2,"['A3', 'A2']","['1', '1', '1', '1']",confirmed,{}
139,316,9031005920505699,2022-03-22 07:32:34,2022-03-22 07:32:42,-1,"['A5', 'A6']","['3', '4', '4']",unclear,{'at_crossing': 'A4'}
140,340,9031005920505741,2022-03-22 07:32:40,2022-03-22 07:33:07,C5,"['B1', 'C4', 'B5']","['10', '21', '14']",unclear,{}
141,328,9031005920505655,2022-03-22 07:32:47,2022-03-22 07:32:54,-1,"['A6', 'B2']","['2', '11']",unclear,{}
142,216,9031005918308830,2022-03-22 07:32:53,2022-03-22 07:35:29,C2,"['C1', 'C2']","['39', '520']",confirmed,{'at_crossing': 'C1'}
143,204,9031005918308824,2022-03-22 07:33:06,2022-03-22 07:33:26,-1,['C1'],"['30', '30']",unclear,{}
144,296,9031005918308733,2022-03-22 07:33:15,2022-03-22 07:33:23,E2,"['C1', 'C2']","['539', '520']",unclear,{}
145,317,9031005920505699,2022-03-22 07:33:22,2022-03-22 07:33:27,-1,"['A5', 'A6']","['3', '4', '4']",unclear,{}
146,311,9031005920505754,2022-03-22 07:33:22,2022-03-22 07:33:31,-1,['B2'],"['11', '11', '11', '11']",unclear,{}
147,341,9031005920505741,2022-03-22 07:33:23,2022-03-22 07:35:20,-1,"['B1', 'C4', 'B5']","['10', '21', '14']",unclear,{'at_crossing': 'C3'}
148,349,9031005920505732,2022-03-22 07:33:28,2022-03-22 07:36:55,D1,"['A1', 'D1', 'E1']","['15', '20', '572']",confirmed,{}
149,344,9031005920505739,2022-03-22 07:33:29,2022-03-22 07:33:46,A6,['E1'],"['572', '6', '6', '6']",unclear,{}
150,353,9031005920505677,2022-03-22 07:33:30,2022-03-22 07:36:58,B4,"['B4', 'B2']","['13', '13']",confirmed,{}
151,356,9031005920505513,2022-03-22 07:33:42,2022-03-22 07:33:47,-1,"['B3', 'A4']","['5', '5']",unclear,{}
152,329,9031005920505655,2022-03-22 07:34:11,2022-03-22 07:38:00,A6,"['A6', 'B2']","['2', '11']",confirmed,{}
153,318,9031005920505699,2022-03-22 07:34:11,2022-03-22 07:34:17,-1,"['A5', 'A6']","['3', '4', '4']",unclear,{}
154,357,9031005920505513,2022-03-22 07:34:29,2022-03-22 07:35:11,B3,"['B3', 'A4']","['5', '5']",confirmed,{'at_crossing': 'B2'}
155,345,9031005920505739,2022-03-22 07:34:37,2022-03-22 07:38:21,-1,['E1'],"['572', '6', '6', '6']",unclear,{}
156,205,9031005918308824,2022-03-22 07:34:53,2022-03-22 07:35:28,-1,['C1'],"['30', '30']",unclear,{}
157,342,9031005920505741,2022-03-22 07:35:36,2022-03-22 07:39:56,-1,"['B1', 'C4', 'B5']","['10', '21', '14']",unclear,{}
158,13,9031005920505673,2022-03-22 07:36:18,2022-03-22 07:37:02,-1,"['A3', 'A2']","['1', '1', '1', '1']",regular_stop,{}
159,358,9031005920505513,2022-03-22 07:36:23,2022-03-22 07:37:05,-1,"['B3', 'A4']","['5', '5']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505673'}]}
160,206,9031005918308824,2022-03-22 07:36:26,2022-03-22 07:36:45,-1,['C1'],"['30', '30']",unclear,{}
161,361,9031005920505756,2022-03-22 07:37:27,2022-03-22 07:40:08,B1,"['B1', 'E2']","['10', '10']",confirmed,{}
162,354,9031005920505677,2022-03-22 07:37:32,2022-03-22 07:38:06,-1,"['B4', 'B2']","['13', '13']",regular_stop,{}
163,350,9031005920505732,2022-03-22 07:37:44,2022-03-22 07:38:10,-1,"['A1', 'D1', 'E1']","['15', '20', '572']",regular_stop,{}
164,364,9031005918308832,2022-03-22 07:37:48,2022-03-22 07:44:07,C3,"['C3', 'B4']","['521', '243']",confirmed,{}
165,369,9031005918308726,2022-03-22 07:37:51,2022-03-22 07:38:14,C5,['C1'],"['540', '539']",unclear,{}
166,374,9031005920505654,2022-03-22 07:37:56,2022-03-22 07:40:24,B6,"['A5', 'B6']","['3', '12', '12', '12']",confirmed,{}
167,376,9031005918308719,2022-03-22 07:38:14,2022-03-22 07:40:29,-1,"['C1', 'B6']","['540', '240', '566']",unclear,{'at_crossing': 'B2'}
168,346,9031005920505739,2022-03-22 07:38:37,2022-03-22 07:38:54,-1,['E1'],"['572', '6', '6', '6']",regular_stop,{}
169,330,9031005920505655,2022-03-22 07:38:47,2022-03-22 07:38:58,-1,"['A6', 'B2']","['2', '11']",regular_stop,{}
