,id,latitude,longitude,bearing,speed,timestamp,vehicle.id,trip_id,schedule_relationship,source,route_id,direction_id,route_short_name,route_type
4462,796961864,58.417724609375,15.623018264770508,322.0,0.0,1647930158,9031005920505736,55700000063666595,0.0,otraf-vehiclepositions-2022-03-22T07-22-41Z.pb,9011005020600000,0,6,700
4463,796962161,58.417598724365234,15.622906684875488,327.0,0.0,1647930159,9031005920505758,55700000063309748,0.0,otraf-vehiclepositions-2022-03-22T07-22-41Z.pb,9011005021000000,0,10,700
4464,796962748,58.41753005981445,15.622922897338867,323.0,3.5999999046325684,1647930160,9031005920505506,55700000065015753,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005021300000,0,13,700
4465,796962660,58.41753387451172,15.623346328735352,325.0,0.0,1647930160,9031005920505649,55700000064428320,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005020100000,1,1,700
4466,796962976,58.41691970825195,15.62411403656006,321.0,0.0,1647930161,9031005920505735,55700000065084373,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005021400000,0,14,700
4467,796962754,58.4161376953125,15.622875213623049,169.0,7.199999809265137,1647930160,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005020400000,1,4,700
4468,796962953,58.4171142578125,15.62267780303955,135.0,5.800000190734863,1647930161,9031005920505667,55700000063262280,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005022300000,1,23,700
4469,796962654,58.41685485839844,15.623973846435549,317.0,0.0,1647930160,9031005918308742,,,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,-1,-1,-1,-1
4470,796962679,58.417457580566406,15.623201370239258,319.0,0.0,1647930160,9031005920505668,55700000065087063,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005021300000,1,13,700
4471,796962662,58.41786575317383,15.622255325317385,256.0,0.0,1647930160,9031005920505743,55700000063663528,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005020600000,1,6,700
4472,796962952,58.41704559326172,15.624295234680176,321.0,0.0,1647930161,9031005920505675,55700000063338106,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005020300000,1,3,700
4473,796962706,58.417022705078125,15.624176025390623,316.0,0.6000000238418579,1647930160,9031005920505516,55700000065074528,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005022000000,1,20,700
4474,796962979,58.417724609375,15.623018264770508,322.0,0.0,1647930161,9031005920505736,55700000063666595,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005020600000,0,6,700
4475,796962903,58.417598724365234,15.622906684875488,327.0,0.0,1647930161,9031005920505758,55700000063309748,0.0,otraf-vehiclepositions-2022-03-22T07-22-42Z.pb,9011005021000000,0,10,700
4476,796962748,58.41753005981445,15.622922897338867,323.0,3.5999999046325684,1647930160,9031005920505506,55700000065015753,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005021300000,0,13,700
4477,796962660,58.41753387451172,15.623346328735352,325.0,0.0,1647930160,9031005920505649,55700000064428320,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005020100000,1,1,700
4478,796962976,58.41691970825195,15.62411403656006,321.0,0.0,1647930161,9031005920505735,55700000065084373,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005021400000,0,14,700
4479,796962754,58.4161376953125,15.622875213623049,169.0,7.199999809265137,1647930160,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005020400000,1,4,700
4480,796962953,58.4171142578125,15.62267780303955,135.0,5.800000190734863,1647930161,9031005920505667,55700000063262280,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005022300000,1,23,700
4481,796962654,58.41685485839844,15.623973846435549,317.0,0.0,1647930160,9031005918308742,,,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,-1,-1,-1,-1
4482,796962679,58.417457580566406,15.623201370239258,319.0,0.0,1647930160,9031005920505668,55700000065087063,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005021300000,1,13,700
4483,796962662,58.41786575317383,15.622255325317385,256.0,0.0,1647930160,9031005920505743,55700000063663528,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005020600000,1,6,700
4484,796962952,58.41704559326172,15.624295234680176,321.0,0.0,1647930161,9031005920505675,55700000063338106,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005020300000,1,3,700
4485,796962706,58.417022705078125,15.624176025390623,316.0,0.6000000238418579,1647930160,9031005920505516,55700000065074528,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005022000000,1,20,700
4486,796962979,58.417724609375,15.623018264770508,322.0,0.0,1647930161,9031005920505736,55700000063666595,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005020600000,0,6,700
4487,796962903,58.417598724365234,15.622906684875488,327.0,0.0,1647930161,9031005920505758,55700000063309748,0.0,otraf-vehiclepositions-2022-03-22T07-22-43Z.pb,9011005021000000,0,10,700
4488,796963119,58.41755676269531,15.622886657714844,324.0,3.5999999046325684,1647930161,9031005920505506,55700000065015753,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005021300000,0,13,700
4489,796963405,58.41753387451172,15.623346328735352,325.0,0.0,1647930162,9031005920505649,55700000064428320,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005020100000,1,1,700
4490,796963350,58.41691970825195,15.62411403656006,321.0,0.0,1647930162,9031005920505735,55700000065084373,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005021400000,0,14,700
4491,796963131,58.41606521606445,15.622879028320312,168.0,7.5,1647930161,9031005920505670,55700000064970024,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005020400000,1,4,700
4492,796963320,58.41707229614258,15.622756004333496,135.0,6.699999809265137,1647930162,9031005920505667,55700000063262280,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005022300000,1,23,700
4493,796963408,58.41685485839844,15.623973846435549,317.0,0.0,1647930162,9031005918308742,,,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,-1,-1,-1,-1
4494,796963058,58.417457580566406,15.623201370239258,319.0,0.0,1647930161,9031005920505668,55700000065087063,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005021300000,1,13,700
4495,796963402,58.41786575317383,15.622255325317385,256.0,0.0,1647930162,9031005920505743,55700000063663528,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005020600000,1,6,700
4496,796963322,58.41704559326172,15.624295234680176,321.0,0.0,1647930162,9031005920505675,55700000063338106,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005020300000,1,3,700
4497,796963083,58.417030334472656,15.624163627624512,313.0,0.800000011920929,1647930161,9031005920505516,55700000065074528,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005022000000,1,20,700
4498,796963359,58.417724609375,15.623018264770508,322.0,0.0,1647930162,9031005920505736,55700000063666595,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005020600000,0,6,700
4499,796963274,58.417598724365234,15.622906684875488,327.0,0.0,1647930162,9031005920505758,55700000063309748,0.0,otraf-vehiclepositions-2022-03-22T07-22-44Z.pb,9011005021000000,0,10,700
