,id,trip_id,schedule_relationship,latitude,longitude,bearing,speed,timestamp,vehicle.id,source,route_id,direction_id,route_short_name,route_type
66,796456976,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928804,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-06Z.pb,9011005021100000,1,11,700
67,796457222,,,58.417457580566406,15.622955322265625,0.0,0.0,1647928806,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,-1,-1,-1,-1
68,796457286,55700000063278840,0.0,58.41769790649414,15.622907638549805,320.0,0.0,1647928805,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005021500000,1,15,700
69,796457292,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928805,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005020200000,1,2,700
70,796457379,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928805,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005020100000,0,1,700
71,796457137,,,58.41767501831055,15.62296199798584,323.0,2.799999952316284,1647928805,9031005920505752,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,-1,-1,-1,-1
72,796457075,55700000063338064,0.0,58.417057037353516,15.624250411987305,322.0,0.0,1647928804,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005020300000,1,3,700
73,796457377,55700000063262810,0.0,58.41688919067383,15.62389087677002,305.0,1.100000023841858,1647928805,9031005920505733,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005022100000,1,21,700
74,796457344,55700000064969976,0.0,58.41647720336914,15.622466087341309,168.0,8.600000381469727,1647928805,9031005920505680,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005020400000,1,4,700
75,796457340,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928805,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-07Z.pb,9011005021100000,1,11,700
76,796457562,,,58.417457580566406,15.622955322265625,0.0,0.0,1647928807,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-08Z.pb,-1,-1,-1,-1
