,trip_id,schedule_relationship,latitude,longitude,bearing,speed,timestamp,vehicle.id,source,route_id,direction_id,route_short_name,route_type,assigned_berth
111,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928809,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-11Z.pb,9011005021100000,1,11,700,B2
112,,,58.41746139526367,15.622953414916992,0.0,0.0,1647928812,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-12Z.pb,-1,-1,-1,-1,
113,55700000063278840,0.0,58.41769790649414,15.622907638549805,320.0,0.0,1647928810,9031005920505737,otraf-vehiclepositions-2022-03-22T07-00-12Z.pb,9011005021500000,1,15,700,A1
114,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928810,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-12Z.pb,9011005020200000,1,2,700,A6
115,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928810,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-12Z.pb,9011005020100000,0,1,700,A3
117,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928810,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-12Z.pb,9011005020300000,1,3,700,
120,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928810,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-12Z.pb,9011005021100000,1,11,700,B2
121,,,58.41746139526367,15.622953414916992,0.0,0.0,1647928813,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-13Z.pb,-1,-1,-1,-1,
123,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928812,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-13Z.pb,9011005020200000,1,2,700,A6
124,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928811,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-13Z.pb,9011005020100000,0,1,700,A3
126,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928811,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-13Z.pb,9011005020300000,1,3,700,
129,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928811,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-13Z.pb,9011005021100000,1,11,700,B2
130,,,58.41746139526367,15.622953414916992,0.0,0.0,1647928813,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-14Z.pb,-1,-1,-1,-1,
132,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928812,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-14Z.pb,9011005020200000,1,2,700,A6
133,55700000065109941,0.0,58.417362213134766,15.623644828796387,319.0,0.0,1647928811,9031005920505673,otraf-vehiclepositions-2022-03-22T07-00-14Z.pb,9011005020100000,0,1,700,A3
135,55700000063338064,0.0,58.417057037353516,15.624249458312988,322.0,0.0,1647928811,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-14Z.pb,9011005020300000,1,3,700,
138,55700000063302008,0.0,58.417457580566406,15.623204231262207,323.0,0.0,1647928811,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-14Z.pb,9011005021100000,1,11,700,B2
139,,,58.41746139526367,15.622950553894043,0.0,0.0,1647928814,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-15Z.pb,-1,-1,-1,-1,
141,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928813,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-15Z.pb,9011005020200000,1,2,700,A6
144,55700000063338064,0.0,58.417057037353516,15.624247550964355,322.0,0.0,1647928812,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-15Z.pb,9011005020300000,1,3,700,
146,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928813,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-15Z.pb,9011005021100000,1,11,700,B2
147,55700000063476178,0.0,58.41746139526367,15.62294864654541,0.0,0.0,1647928815,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-16Z.pb,9011005053000000,1,530,700,
