trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude,remarks
9031005918308719-2,9031005918308719,1647932738,1647933041,3,1647932901,1647932999,C1,566,1,C1,566,1,C1,15.6228828430176,58.4174499511719,{}
9031005918308719-2,9031005918308719,1647932738,1647933041,4,1647933035,1647933039,-1,566,1,C1,566,1,C1,15.6222677230835,58.4176902770996,{'zone': True}
9031005918308721-0,9031005918308721,1647932003,1647932159,0,1647932026,1647932092,B4,-1,-1,-1,243,1,B4,15.6237840652466,58.4170837402344,{}
9031005918308724-0,9031005918308724,1647931300,1647931838,0,1647931333,1647931348,-1,-1,-1,-1,-1,-1,-1,15.6230421066284,58.4173011779785,{}
9031005918308724-0,9031005918308724,1647931300,1647931838,1,1647931362,1647931462,C1,-1,-1,-1,-1,-1,-1,15.6228504180908,58.4174575805664,{}
9031005918308724-0,9031005918308724,1647931300,1647931838,2,1647931465,1647931801,C1,-1,-1,-1,39,1,C1,15.6228275299072,58.4174423217773,{}
9031005918308724-0,9031005918308724,1647931300,1647931838,3,1647931826,1647931830,-1,39,1,C1,39,1,C1,15.6223707199097,58.4177322387695,{}
9031005918308725-0,9031005918308725,1647933650,1647933731,0,1647933664,1647933677,B6,39,0,C1,-1,-1,-1,15.6243801116943,58.4167747497559,{}
9031005918308725-1,9031005918308725,1647934414,1647934432,0,1647934422,1647934428,-1,-1,-1,-1,-1,-1,-1,15.6221132278442,58.4177169799805,{'zone': True}
9031005918308725-2,9031005918308725,1647934490,1647934579,0,1647934507,1647934527,C4,-1,-1,-1,513,1,C4,15.6239242553711,58.4168586730957,{'at_crossing': 'C3'}
9031005918308725-2,9031005918308725,1647934490,1647934579,1,1647934529,1647934537,C4,513,1,C4,513,1,C4,15.6239738464355,58.4168739318848,{}
9031005918308726-0,9031005918308726,1647931061,1647931148,0,1647931071,1647931094,C5,540,0,C1,-1,-1,-1,15.624285697937,58.4166793823242,{}
9031005918308732-0,9031005918308732,1647932734,1647932835,0,1647932763,1647932777,-1,-1,-1,-1,-1,-1,-1,15.6235466003418,58.4169311523438,{}
9031005918308732-0,9031005918308732,1647932734,1647932835,1,1647932806,1647932810,-1,-1,-1,-1,-1,-1,-1,15.6223859786987,58.4177551269531,{}
